Distribution,n,B,II_mean,II_std,KS_stat,p_value
D0 Independent,100,1000,1.00217,0.062862,0.023,0.6564
D0 Independent,500,1000,1.00041,0.028995,0.0149,0.9776
D0 Independent,1000,1000,0.99907,0.020624,0.0199,0.8146
D0 Independent,5000,500,0.99996,0.009076,0.0135,1.0
D1 Linear,100,1000,0.27333,0.034784,0.0467,0.0247
D1 Linear,500,1000,0.20811,0.014512,0.0332,0.2149
D1 Linear,1000,1000,0.19165,0.009785,0.0215,0.7367
D1 Linear,5000,500,0.16843,0.004115,0.0352,0.5548
D2 Quadratic,100,1000,0.50782,0.053508,0.0143,0.9847
D2 Quadratic,500,1000,0.39753,0.02246,0.0164,0.9466
D2 Quadratic,1000,1000,0.36309,0.015815,0.0168,0.9356
D2 Quadratic,5000,500,0.30919,0.006345,0.0265,0.8658
D3 Cubic,100,1000,0.36414,0.044384,0.0374,0.1187
D3 Cubic,500,1000,0.27267,0.018538,0.0177,0.9075
D3 Cubic,1000,1000,0.2439,0.012822,0.0163,0.948
D3 Cubic,5000,500,0.19458,0.005349,0.0277,0.8281
D4 Sine,100,1000,0.50033,0.053955,0.0225,0.6813
D4 Sine,500,1000,0.44825,0.024469,0.0186,0.8715
D4 Sine,1000,1000,0.43485,0.016942,0.0169,0.9327
D4 Sine,5000,500,0.41392,0.007482,0.0246,0.9143
D5 Cosine,100,1000,0.75049,0.06413,0.0191,0.8504
D5 Cosine,500,1000,0.70109,0.029191,0.0239,0.6091
D5 Cosine,1000,1000,0.68669,0.020826,0.0239,0.6074
D5 Cosine,5000,500,0.66358,0.009678,0.0261,0.8757
D6 Exponential,100,1000,0.5912,0.06282,0.0234,0.6367
D6 Exponential,500,1000,0.55261,0.028152,0.0104,0.9999
D6 Exponential,1000,1000,0.54475,0.019947,0.019,0.8563
D6 Exponential,5000,500,0.528,0.008992,0.0293,0.7737
D7 Logarithmic,100,1000,0.92803,0.066449,0.0181,0.8908
D7 Logarithmic,500,1000,0.90438,0.03044,0.0211,0.757
D7 Logarithmic,1000,1000,0.89757,0.020137,0.0183,0.8866
D7 Logarithmic,5000,500,0.88881,0.009703,0.0334,0.6198
D8 Step,100,1000,0.46643,0.052183,0.0203,0.7958
D8 Step,500,1000,0.38793,0.022066,0.026,0.5016
D8 Step,1000,1000,0.36107,0.014886,0.0234,0.6357
D8 Step,5000,500,0.31579,0.005774,0.0264,0.8678
D9 Parabolic,100,1000,0.46704,0.047747,0.0306,0.3016
D9 Parabolic,500,1000,0.34287,0.018709,0.0258,0.511
D9 Parabolic,1000,1000,0.30602,0.012704,0.0307,0.2952
D9 Parabolic,5000,500,0.24673,0.005058,0.0305,0.7272
